"[[-1010, 1056, 988, 1077]]",[[1124  906 1182  746]],[[602 859 704 760]]
"[[-1010, 1056, 988, 1077]]",[[1113  955 1194  733]],[[554 915 773 703]]
"[[-1010, 1056, 988, 1077]]",[[1143  887 1196  741]],[[548 927 755 727]]
"[[-1010, 1056, 988, 1077]]",[[1146  888 1198  744]],[[619 864 722 764]]
"[[-1010, 1056, 988, 1077]]",[[1149  888 1200  749]],[[614 873 719 772]]
"[[-1010, 1056, 988, 1077]]",[[1141  920 1204  749]],[[591 900 768 729]]
"[[-1010, 1056, 988, 1077]]",[[1142  924 1182  815]],[[625 871 787 714]]
"[[-1010, 1056, 988, 1077]]",[[1145  922 1186  808]],[[842 664 943 566]]
"[[-1010, 1056, 988, 1077]]",[[1235  684 1288  539]],[[622 878 774 731]]
"[[-1010, 1056, 988, 1077]]",[[1245  663 1283  558]],[[749 758 976 539]]
"[[-1010, 1056, 988, 1077]]",[[1159  893 1199  787]],[[586 917 972 544]]
"[[-1010, 1056, 988, 1077]]",[[1213  756 1291  542]],[[654 854 787 725]]
"[[-1010, 1056, 988, 1077]]",[[1247  667 1289  551]],[[673 837 774 739]]
"[[-1010, 1056, 988, 1077]]",[[1249  667 1292  549]],[[809 708 913 607]]
"[[-1010, 1056, 988, 1077]]",[[1250  668 1292  553]],[[588 923 814 705]]
"[[-1010, 1056, 988, 1077]]",[[1166  895 1206  789]],[[853 669 978 548]]
"[[-1010, 1056, 988, 1077]]",[[1154  933 1217  761]],[[591 924 818 705]]
"[[-1010, 1056, 988, 1077]]",[[1157  934 1194  833]],[[608 912 790 736]]
"[[-1010, 1056, 988, 1077]]",[[1172  902 1223  762]],[[616 908 745 783]]
"[[-1010, 1056, 988, 1077]]",[[1162  938 1226  763]],[[686 844 787 746]]
"[[-1010, 1056, 988, 1077]]",[[1164  941 1220  788]],[[614 917 865 674]]
"[[-1010, 1056, 988, 1077]]",[[1177  920 1224  791]],[[609 927 833 711]]
"[[-1010, 1056, 988, 1077]]",[[1268  682 1313  557]],[[859 688 968 582]]
"[[-1010, 1056, 988, 1077]]",[[1241  763 1315  559]],[[626 917 788 760]]
"[[-1010, 1056, 988, 1077]]",[[1189  905 1227  804]],[[620 925 767 783]]
"[[-1010, 1056, 988, 1077]]",[[1193  901 1233  795]],[[638 912 760 794]]
"[[-1010, 1056, 988, 1077]]",[[1190  921 1236  794]],[[598 953 815 743]]
"[[-1010, 1056, 988, 1077]]",[[1198  906 1248  768]],[[663 893 813 748]]
"[[-1010, 1056, 988, 1077]]",[[1195  920 1252  764]],[[602 954 811 752]]
"[[-1010, 1056, 988, 1077]]",[[1202  906 1252  768]],[[644 917 799 767]]
"[[-1010, 1056, 988, 1077]]",[[1191  940 1254  769]],[[850 719 956 616]]
"[[-1010, 1056, 988, 1077]]",[[1174  988 1234  831]],[[656 910 768 802]]
"[[-1010, 1056, 988, 1077]]",[[1175  988 1240  818]],[[607 959 786 786]]
"[[-1010, 1056, 988, 1077]]",[[1198  939 1259  773]],[[630 940 781 794]]
"[[-1010, 1056, 988, 1077]]",[[1187  970 1249  806]],[[842 736 942 639]]
"[[-1010, 1056, 988, 1077]]",[[1198  946 1262  772]],[[838 742 948 635]]
"[[-1010, 1056, 988, 1077]]",[[1214  907 1260  785]],[[612 962 764 815]]
"[[-1010, 1056, 988, 1077]]",[[1211  923 1267  770]],[[ 841  742 1032  558]]
"[[-1010, 1056, 988, 1077]]",[[1205  942 1268  771]],[[614 964 750 833]]
"[[-1010, 1056, 988, 1077]]",[[1207  940 1257  803]],[[614 966 743 841]]
"[[-1010, 1056, 988, 1077]]",[[1188  990 1255  814]],[[635 947 744 842]]
"[[-1010, 1056, 988, 1077]]",[[612 970 720 865]],[[204 728 314 675]]
"[[-1010, 1056, 988, 1077]]",[[1212  933 1259  804]],[[778 810 941 652]]
"[[-1010, 1056, 988, 1077]]",[[1222  906 1260  805]],[[759 830 874 718]]
"[[-1010, 1056, 988, 1077]]",[[ 830  761 1050  548]],[[376 826 383 690]]
"[[-1010, 1056, 988, 1077]]",[[1196  979 1261  808]],[[726 864 860 734]]
"[[-1010, 1056, 988, 1077]]",[[1214  935 1262  803]],[[723 867 840 754]]
"[[-1010, 1056, 988, 1077]]",[[1196  982 1253  832]],[[711 880 843 752]]
"[[-1010, 1056, 988, 1077]]",[[1273  778 1321  655]],[[668 922 800 794]]
"[[-1010, 1056, 988, 1077]]",[[1193  990 1259  818]],[[595 992 930 668]]
"[[-1010, 1056, 988, 1077]]",[[1196  984 1260  817]],[[ 766  827 1010  591]]
"[[-1010, 1056, 988, 1077]]",[[1275  777 1314  674]],[[644 946 860 737]]
