Frame,hx1,hy1,hx2,hy2,lx1,ly1,lx2,ly2,rx1,ry1,rx2,ry2
153,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-23,1487,1487,23,824,1772,1772,-824
154,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1491,1491,24,826,1775,1775,-826
155,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1495,1495,24,828,1779,1779,-828
156,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1499,1499,24,829,1782,1782,-829
157,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1503,1503,24,830,1786,1786,-830
158,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1506,1506,24,831,1788,1788,-831
159,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1508,1508,24,832,1791,1791,-832
160,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1511,1511,24,833,1793,1793,-833
161,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1513,1513,24,835,1795,1795,-835
162,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1515,1515,24,836,1797,1797,-836
163,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1518,1518,24,837,1799,1799,-837
164,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1520,1520,24,837,1802,1802,-837
165,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1523,1523,24,838,1805,1805,-838
166,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1526,1526,24,839,1808,1808,-839
167,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1529,1529,24,841,1811,1811,-841
168,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1532,1532,24,843,1814,1814,-843
169,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1536,1536,24,844,1817,1817,-844
170,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-25,1539,1539,25,846,1820,1820,-846
171,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-25,1542,1542,25,847,1824,1824,-847
172,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-25,1546,1546,25,848,1828,1828,-848
173,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1549,1549,24,848,1833,1833,-848
174,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1552,1552,24,849,1837,1837,-849
175,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1555,1555,24,849,1841,1841,-849
176,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1559,1559,24,850,1845,1845,-850
177,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1561,1561,24,851,1848,1848,-851
178,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1564,1564,24,852,1851,1851,-852
179,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-25,1567,1567,25,853,1854,1854,-853
180,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-25,1569,1569,25,853,1857,1857,-853
181,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-25,1571,1571,25,853,1860,1860,-853
182,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-25,1573,1573,25,854,1863,1863,-854
183,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-25,1575,1575,25,854,1865,1865,-854
184,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-25,1577,1577,25,855,1867,1867,-855
185,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-25,1579,1579,25,856,1869,1869,-856
186,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-25,1581,1581,25,856,1872,1872,-856
187,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-25,1582,1582,25,855,1874,1874,-855
188,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-25,1584,1584,25,855,1877,1877,-855
189,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-25,1586,1586,25,855,1878,1878,-855
190,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-25,1587,1587,25,856,1880,1880,-856
191,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1588,1588,24,856,1881,1881,-856
192,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1589,1589,24,856,1883,1883,-856
193,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1590,1590,24,855,1884,1884,-855
194,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1591,1591,24,855,1886,1886,-855
195,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1592,1592,24,854,1887,1887,-854
196,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1592,1592,24,853,1889,1889,-853
197,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1592,1592,24,851,1891,1891,-851
198,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1593,1593,24,849,1893,1893,-849
199,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1593,1593,24,846,1896,1896,-846
200,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-23,1593,1593,23,843,1898,1898,-843
