0,1,2
[-1044.97864196   971.81512534   952.97864196  1062.18487466],[ 489 1031  550  970],[1370  656 1385  595]
[-1044.97864196   971.81512534   952.97864196  1062.18487466],[1150  367 1206  310],[1369  659 1385  594]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[1001  516 1068  449],[1269 1073 1298  950]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[1003  514 1066  451],[1369  659 1385  594]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[ 496 1024  550  970],[1369  659 1385  594]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[1056  460 1112  403],[1269 1073 1288  991]
[-1044.02250177   972.79546452   954.02250177  1061.20453548],[ 591  954  620 1011],[1369  659 1386  589]
[-1044.02250177   972.79546452   954.02250177  1061.20453548],[1002  515 1082  435],[1369  659 1386  589]
[-1044.02250177   972.79546452   954.02250177  1061.20453548],[1002  515 1082  435],[1420  427 1444  325]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[1002  515 1082  435],[1369  659 1386  589]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[ 590  953  619 1010],[1269 1073 1291  981]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[ 583  941  621 1015],[1369  659 1385  594]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[1002  515 1088  429],[1369  659 1386  589]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[1002  515 1088  429],[1369  659 1386  589]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[1222  295 1284  231],[1370  657 1385  595]
[-1044.02250177   972.79546452   954.02250177  1061.20453548],[1114  403 1175  342],[1420  427 1445  322]
[-1044.02250177   972.79546452   954.02250177  1061.20453548],[ 591  955  620 1012],[1434  368 1447  313]
[-1044.02250177   972.79546452   954.02250177  1061.20453548],[1002  515 1085  432],[1369  658 1386  589]
[-1044.02250177   972.79546452   954.02250177  1061.20453548],[ 581  936  622 1016],[1278 1034 1313  890]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[ 583  940  620 1013],[1421  421 1447  313]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[ 581  935  620 1012],[1277 1041 1289  988]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[ 581  936  621 1015],[1405  492 1444  325]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[ 583  940  625 1023],[1405  492 1444  325]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[ 583  940  621 1014],[1419  432 1445  322]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[ 591  954  622 1018],[1278 1034 1313  890]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[458 497 480 574],[1369  658 1386  589]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[1199  319 1284  231],[1369  659 1385  594]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[1029  489 1112  403],[1276 1042 1290  985]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[468 519 488 593],[1370  657 1385  595]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[1019  498 1081  436],[1276 1042 1291  981]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[1148  369 1260  257],[1369  659 1385  594]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[ 584  939  626 1026],[1419  432 1445  322]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[1022  495 1106  408],[1276 1042 1289  988]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[1141  376 1204  311],[1369  659 1385  594]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[1022  495 1106  408],[1369  659 1386  589]
[-1044.98264118   973.90362954   952.98264118  1064.09637046],[1052  465 1112  403],[834 267 864 350]
[-1044.98264118   973.90362954   952.98264118  1064.09637046],[ 988  529 1081  436],[1369  659 1386  589]
[-1044.98264118   973.90362954   952.98264118  1064.09637046],[1029  488 1106  408],[1369  659 1385  594]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[1207  310 1284  231],[822 270 849 346]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[1025  492 1109  406],[819 275 842 340]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[ 985  532 1081  436],[1413  490 1428  429]
[-1044.02823494   975.92522493   954.02823494  1064.07477507],[1114  403 1175  342],[1416  443 1444  325]
[-1044.02823494   975.92522493   954.02823494  1064.07477507],[1220  297 1284  231],[1276 1042 1305  924]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[ 496 1024  554  966],[1369  659 1385  593]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[ 992  526 1104  411],[1428  394 1445  322]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[1025  492 1100  415],[786 256 800 316]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[799 335 811 391],[1369  659 1386  589]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[1207  310 1260  257],[793 336 811 414]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[787 331 803 407],[1369  659 1385  594]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[782 332 796 404],[1427  397 1445  322]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[761 252 774 319],[1369  659 1385  594]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[494 597 504 659],[791 423 820 511]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[768 335 779 398],[1289  989 1307  914]
[-1044.02823494   975.92522493   954.02823494  1064.07477507],[496 599 506 658],[1289  989 1302  936]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[1002  515 1081  436],[1369  659 1385  594]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[1002  515 1081  436],[1427  397 1445  322]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[898 621 965 554],[1369  659 1385  594]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[898 621 965 554],[1369  659 1385  592]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[1207  310 1290  224],[1284 1009 1302  936]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[898 621 965 554],[1279 1030 1302  935]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[477 492 486 572],[1369  659 1385  594]
[-1044.02823494   975.92522493   954.02823494  1064.07477507],[899 620 965 554],[1369  659 1385  593]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[566 880 586 931],[1284 1009 1301  937]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[856 466 859 519],[1369  659 1385  594]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[566 879 587 932],[1369  659 1385  593]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[899 620 965 554],[1369  659 1385  594]
[-1044.02823494   975.92522493   954.02823494  1064.07477507],[871 537 876 589],[1369  659 1385  593]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[874 527 880 583],[1284 1009 1302  935]
[-1044.02823494   975.92522493   954.02823494  1064.07477507],[899 620 965 554],[1369  659 1385  593]
[-1044.02823494   975.92522493   954.02823494  1064.07477507],[828 784 837 699],[1289  989 1307  914]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[ 594  952  618 1013],[1288  993 1307  914]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[912 607 965 554],[1270 1072 1303  929]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[897 622 965 554],[1269 1073 1290  985]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[1002  515 1081  436],[1279 1030 1316  880]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[1002  515 1081  436],[1288  993 1308  910]
[-1044.98463198   974.94775189   952.98463198  1065.05224811],[1002  515 1081  436],[1279 1031 1305  923]
[-1044.02823494   975.92522493   954.02823494  1064.07477507],[1002  515 1081  436],[1269 1073 1289  988]
[-1044.02823494   975.92522493   954.02823494  1064.07477507],[1118  399 1170  347],[1288  993 1308  910]
[-1044.02823494   975.92522493   954.02823494  1064.07477507],[1118  399 1170  347],[1270 1072 1303  929]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[1002  515 1081  436],[1269 1073 1290  985]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[1002  515 1081  436],[1287  997 1308  910]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[1002  515 1081  436],[1269 1073 1290  985]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[779 910 818 818],[1289  989 1308  910]
[-1043.0727017    977.94495703   955.0727017   1064.05504297],[781 915 812 838],[1369  659 1385  594]
[-1043.07451297   978.98700727   955.07451297  1065.01299273],[1118  399 1170  347],[1269 1073 1290  985]
[-1043.07451297   978.98700727   955.07451297  1065.01299273],[1002  515 1081  436],[1287  997 1306  917]
[-1043.07451297   978.98700727   955.07451297  1065.01299273],[1002  515 1084  433],[1270 1072 1290  985]
[-1043.0727017    977.94495703   955.0727017   1064.05504297],[509 759 520 815],[1275 1048 1288  990]
[-1043.0727017    977.94495703   955.0727017   1064.05504297],[823 811 838 703],[1297  957 1316  880]
[-1043.0727017    977.94495703   955.0727017   1064.05504297],[807 898 833 751],[1270 1072 1306  917]
[-1043.0727017    977.94495703   955.0727017   1064.05504297],[807 904 822 815],[1287  997 1304  926]
[-1043.0727017    977.94495703   955.0727017   1064.05504297],[808 901 833 742],[1292  977 1316  880]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[819 830 832 746],[1369  659 1385  594]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[950 515 950 449],[872 394 904 473]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[801 935 820 818],[1269 1073 1290  985]
[-1043.0727017    977.94495703   955.0727017   1064.05504297],[800 935 827 764],[1295  963 1315  881]
[-1043.0727017    977.94495703   955.0727017   1064.05504297],[801 934 809 873],[860 353 883 423]
[-1043.07451297   978.98700727   955.07451297  1065.01299273],[1211  306 1284  231],[1289  989 1310  901]
[-1043.07451297   978.98700727   955.07451297  1065.01299273],[798 937 809 853],[1292  977 1316  880]
[-1043.07451297   978.98700727   955.07451297  1065.01299273],[ 999  518 1085  432],[1269 1073 1286 1001]
[-1043.0727017    977.94495703   955.0727017   1064.05504297],[ 999  518 1085  432],[1270 1072 1301  936]
[-1043.0727017    977.94495703   955.0727017   1064.05504297],[800 883 818 802],[1369  659 1385  593]
[-1044.03013479   976.96830944   954.03013479  1065.03169056],[ 999  518 1085  432],[1369  659 1385  594]
[-1044.02823494   975.92522493   954.02823494  1064.07477507],[ 999  518 1085  432],[1271 1065 1286 1001]
[-1044.02823494   975.92522493   954.02823494  1064.07477507],[ 999  518 1085  432],[1269 1073 1286 1001]
[-1044.02823494   975.92522493   954.02823494  1064.07477507],[936 463 936 411],[1289  989 1301  938]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[ 999  518 1085  432],[835 350 857 432]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[ 999  518 1085  432],[832 336 857 436]
