frame,x,y,radius,x_axis,y_axis,z_axis,angle
137,1304.0,502.0,49.0,0.9341844659384227,0.096411995316035,-0.343517264134606,0.4440357727974898
138,1309.0,498.0,49.0,0.9371808466930666,0.0941924429770635,-0.3358866539142028,0.4415480943864304
139,1309.0,498.0,48.0,0.9398341789236876,0.0920695486183054,-0.3289907511527632,0.4391684145435842
140,1309.0,494.0,48.0,0.9421392069169576,0.0900324463301427,-0.3229053629125661,0.4368967332689512
141,1313.0,489.0,48.0,0.9440928808102088,0.088069979599173,-0.3176984593870138,0.4347330505625313
142,1314.0,488.0,48.0,0.9456938007168126,0.086171143899748,-0.3134290497780932,0.4326773664243247
143,1318.0,485.0,48.0,0.9469409313889646,0.0843251687436858,-0.310148574680828,0.4307296808543313
144,1318.0,482.0,48.0,0.9478351763871108,0.0825225466768385,-0.3078936629636663,0.428889993852551
145,1323.0,479.0,47.0,0.9483783198903932,0.0807552229968127,-0.3066873918513933,0.4369564244635963
146,1323.0,478.0,47.0,0.9485722927964984,0.0790156843040525,-0.3065405796509763,0.4447737654046534
147,1322.0,473.0,47.0,0.948420484273051,0.0772975599941771,-0.3074470234531763,0.4523420166757224
148,1322.0,471.0,47.0,0.9479285188482536,0.0755954963005538,-0.3093813893776245,0.4596611782768033
149,1327.0,471.0,47.0,0.9471048948459158,0.0739049796481001,-0.3122985304834475,0.4635520886816477
150,1327.0,469.0,47.0,0.9459623880396332,0.0722221431284762,-0.3161314955145794,0.4640147478902557
151,1326.0,468.0,47.0,0.9445197880774804,0.070543377266839,-0.3207896535954048,0.4676285620805555
152,1327.0,469.0,46.0,0.9428025882776776,0.0688651639739526,-0.326160801948598,0.4678655366205129
153,1327.0,471.0,46.0,0.9408439188334868,0.0671838812183482,-0.3321130026037618,0.4647256715101284
154,1328.0,471.0,46.0,0.9386851404658456,0.0654956734088166,-0.3384974502612118,0.4642647588611195
155,1323.0,471.0,46.0,0.9363759963229292,0.0637964006080168,-0.3451521588802582,0.4664827986734863
156,1319.0,472.0,46.0,0.9339737063285318,0.0620816833968524,-0.3519076305986535,0.4641095265383311
157,1320.0,469.0,46.0,0.9315464380262966,0.0603466692218869,-0.3585798562584677,0.4604018223196314
158,1320.0,464.0,46.0,0.9291663927496664,0.0585867344153291,-0.3649896014068354,0.4574120038791641
159,1319.0,463.0,45.0,0.9269104993068056,0.0567974606802608,-0.370959532476364,0.4554428277100272
160,1315.0,462.0,45.0,0.9248510983366964,0.0549745696735004,-0.3763352794977104,0.4621405673127243
161,1315.0,462.0,45.0,0.9230666035268204,0.0531156164162737,-0.3809550849459541,0.4645989077740672
162,1311.0,459.0,45.0,0.9216311733548987,0.0512181295392362,-0.3846721766738198,0.4625348824743476
163,1311.0,458.0,45.0,0.920612771386958,0.0492805975875161,-0.3873545505872391,0.4637268352215811
164,1306.0,456.0,45.0,0.9200715138730794,0.0473028518368145,-0.3888841081445784,0.4681747660157676
165,1303.0,455.0,45.0,0.9200572060694168,0.0452856900306126,-0.3891579934142302,0.4696032379510743
166,1302.0,455.0,45.0,0.920609938869591,0.0432304263356361,-0.3880830718974574,0.4700529310678158
167,1299.0,454.0,44.0,0.9217501351352442,0.041140795748395,-0.3855958030157329,0.4695238453659922
168,1295.0,455.0,44.0,0.9234903010868432,0.0390202631285105,-0.3816321302824401,0.4697447434448308
169,1290.0,454.0,44.0,0.9258261140293976,0.0368726402001928,-0.3761467997815374,0.4707156253043317
170,1286.0,452.0,44.0,0.9287410196595944,0.0347022104768789,-0.3691014426816495,0.4626383718998825
171,1283.0,451.0,44.0,0.9322026137375332,0.0325144293252317,-0.3604734370609936,0.4556681905142968
172,1280.0,454.0,44.0,0.936167401008756,0.0303146331784903,-0.3502450860522738,0.4498050811475748
173,1276.0,454.0,44.0,0.940571547499568,0.0281072933478849,-0.3384304124852311,0.4450490437997163
174,1272.0,455.0,44.0,0.9453479416215164,0.0258972334461045,-0.3250332330267169,0.4409264828925964
175,1268.0,454.0,44.0,0.9504162091023044,0.0236882522553286,-0.310077242281166,0.4409264828925964
176,1264.0,454.0,44.0,0.9556930359971908,0.0214837447405348,-0.2935800907050679,0.4409264828925964
177,1261.0,454.0,43.0,0.9610877727909384,0.0192868301110316,-0.2755690678868395,0.4409264828925964
178,1257.0,454.0,43.0,0.9665056251717736,0.0170997947449264,-0.256075132590028,0.4409264828925964
179,1253.0,454.0,43.0,0.9718492358559916,0.0149242048778782,-0.2351304550135697,0.4409264828925964
180,1250.0,452.0,43.0,0.9770233630387828,0.0127608491965914,-0.2127498738052949,0.4409264828925964
181,1242.0,451.0,43.0,0.9819367087456116,0.0106099542599186,-0.1889119606812618,0.4409264828925964
182,1239.0,450.0,43.0,0.9865049644109328,0.008470899270104,-0.1635120761844218,0.4409264828925964
183,1236.0,450.0,43.0,0.9906533538449184,0.0063424172776071,-0.1362560320091994,0.4409264828925964
184,1232.0,450.0,43.0,0.9943171491627794,0.0042226935261941,-0.1063746950180683,0.4409264828925964
185,1228.0,449.0,43.0,0.9974448861690448,0.0021094367018493,-0.0714090283649195,0.4409264828925964
186,1221.0,451.0,43.0,1.0,0.0,-0.0,0.4409264828925964
187,,,,,,,
188,,,,,,,
189,,,,,,,
190,,,,,,,
191,,,,,,,
192,,,,,,,
193,,,,,,,
194,,,,,,,
195,,,,,,,
196,,,,,,,
197,,,,,,,
198,,,,,,,
199,,,,,,,
200,,,,,,,
201,,,,,,,
202,,,,,,,
203,,,,,,,
204,,,,,,,
205,,,,,,,
206,,,,,,,
207,,,,,,,
208,,,,,,,
209,,,,,,,
210,,,,,,,
211,,,,,,,
212,,,,,,,
213,,,,,,,
214,,,,,,,
215,,,,,,,
216,,,,,,,
217,,,,,,,
218,,,,,,,
219,,,,,,,
220,,,,,,,
221,,,,,,,
222,,,,,,,
223,,,,,,,
